"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 03 14:14:04 CST 2026","Tue Mar 03 14:14:05 CST 2026","720","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_submit_appeal[TC-APPEAL-004_\u975e\u5356\u5bb6\u7528\u6237]","测试提交评价申诉接口的各种场景"
"passed","Tue Mar 03 14:15:57 CST 2026","Tue Mar 03 14:15:57 CST 2026","80","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-002_\u6807\u9898\u4e3a\u7a7a]","测试创建心愿接口的各种场景"
"passed","Tue Mar 03 14:13:41 CST 2026","Tue Mar 03 14:13:41 CST 2026","145","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_list[TC-ADMIN-003_\u83b7\u53d6\u88ab\u62d2\u7edd\u5546\u54c1\u5217\u8868]","测试管理员获取商品管理数据"
"passed","Tue Mar 03 14:15:29 CST 2026","Tue Mar 03 14:15:30 CST 2026","464","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-001_\u53d1\u5e03\u6210\u529f]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 14:15:31 CST 2026","Tue Mar 03 14:15:31 CST 2026","120","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-006_\u4ef7\u683c\u4e3a\u7a7a]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 14:15:36 CST 2026","Tue Mar 03 14:15:36 CST 2026","497","testcase.test_product","test_product_api","TestProductAPI","","","test_purchase_product[TC-PROD-016_\u65e0\u53c2]","测试购买商品接口的各种场景"
"failed","Tue Mar 03 14:15:17 CST 2026","Tue Mar 03 14:15:28 CST 2026","10887","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-008_\u672a\u8d2d\u4e70\u7528\u6237]","测试提交商品评价接口的各种场景"
"passed","Tue Mar 03 14:13:52 CST 2026","Tue Mar 03 14:13:53 CST 2026","1144","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-6_\u975e\u7ba1\u7406\u5458\u8bbf\u95ee]","测试管理员获取申诉管理数据"
"passed","Tue Mar 03 14:14:01 CST 2026","Tue Mar 03 14:14:03 CST 2026","2458","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_submit_appeal[TC-APPEAL-001_\u7533\u8bc9\u6210\u529f]","测试提交评价申诉接口的各种场景"
"passed","Tue Mar 03 14:14:12 CST 2026","Tue Mar 03 14:14:12 CST 2026","118","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_credit_appeal[TC-CREDIT-011_\u7533\u8bc9ID\u4e0d\u5b58\u5728]","测试提交信用申诉接口的各种场景"
"passed","Tue Mar 03 14:15:29 CST 2026","Tue Mar 03 14:15:29 CST 2026","67","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-005_\u975e\u6570\u5b57\u91d1\u989d]","测试用户充值接口的各种场景"
"failed","Tue Mar 03 14:13:39 CST 2026","Tue Mar 03 14:13:39 CST 2026","92","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_audit[TC-ADMIN-005_\u901a\u8fc7\u5ba1\u6838]","测试管理员审核用户的各种场景"
"passed","Tue Mar 03 14:15:28 CST 2026","Tue Mar 03 14:15:28 CST 2026","141","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-002_\u91d1\u989d\u4e3a\u7a7a]","测试用户充值接口的各种场景"
"passed","Tue Mar 03 14:15:50 CST 2026","Tue Mar 03 14:15:50 CST 2026","68","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-018_\u5b66\u53f7\u91cd\u590d]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:15:34 CST 2026","Tue Mar 03 14:15:34 CST 2026","421","testcase.test_product","test_product_api","TestProductAPI","","","test_purchase_product[TC-PROD-014_\u5e93\u5b58\u4e0d\u8db3]","测试购买商品接口的各种场景"
"passed","Tue Mar 03 14:15:30 CST 2026","Tue Mar 03 14:15:30 CST 2026","104","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-004_\u5206\u7c7b\u4e3a\u7a7a]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 14:13:35 CST 2026","Tue Mar 03 14:13:36 CST 2026","119","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_manage[TC-ADMIN-002_\u7b5b\u9009\u5f85\u5ba1\u6838]","测试管理员获取用户列表的各种场景"
"passed","Tue Mar 03 14:15:49 CST 2026","Tue Mar 03 14:15:49 CST 2026","61","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-012_\u5b66\u53f7\u4e3a\u7a7a]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:13:43 CST 2026","Tue Mar 03 14:13:43 CST 2026","77","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-015_\u64cd\u4f5c\u4e0d\u5b58\u5728\u7684\u5546\u54c1]","测试管理员审核商品的各种场景"
"passed","Tue Mar 03 14:15:47 CST 2026","Tue Mar 03 14:15:48 CST 2026","1056","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-009_\u5bc6\u7801\u9519\u8bef]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:15:50 CST 2026","Tue Mar 03 14:15:50 CST 2026","100","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-015_\u786e\u8ba4\u5bc6\u7801\u4e3a\u7a7a]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:13:59 CST 2026","Tue Mar 03 14:14:01 CST 2026","1525","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-026_action\u53c2\u6570\u65e0\u6548]","测试管理员审核申诉的各种场景"
"failed","Tue Mar 03 14:13:46 CST 2026","Tue Mar 03 14:13:46 CST 2026","118","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-003_wish_id\u4e3a\u7a7a]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 14:13:47 CST 2026","Tue Mar 03 14:13:48 CST 2026","1007","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-1_\u6210\u529f\u83b7\u53d6\u5f85\u7533\u8bc9\u5217\u8868]","测试管理员获取申诉管理数据"
"passed","Tue Mar 03 14:13:45 CST 2026","Tue Mar 03 14:13:45 CST 2026","370","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-001_\u901a\u8fc7\u5fc3\u613f]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 14:15:40 CST 2026","Tue Mar 03 14:15:41 CST 2026","673","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-021_\u8fdd\u89c4\u5546\u54c1\u7b5b\u9009]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 14:13:43 CST 2026","Tue Mar 03 14:13:43 CST 2026","168","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-013_product_id\u4e3a\u7a7a]","测试管理员审核商品的各种场景"
"passed","Tue Mar 03 14:15:31 CST 2026","Tue Mar 03 14:15:31 CST 2026","89","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-009_\u672a\u767b\u5f55\u7528\u6237]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 14:15:31 CST 2026","Tue Mar 03 14:15:31 CST 2026","93","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-008_\u4ea4\u6613\u5730\u70b9\u4e3a\u7a7a]","测试创建商品接口的各种场景"
"failed","Tue Mar 03 14:13:45 CST 2026","Tue Mar 03 14:13:45 CST 2026","378","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-004_\u975e\u7ba1\u7406\u5458\u8bbf\u95ee\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
"passed","Tue Mar 03 14:15:45 CST 2026","Tue Mar 03 14:15:46 CST 2026","1018","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-003_\u672a\u5ba1\u6838\u5b66\u751f\u767b\u5f55]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:15:41 CST 2026","Tue Mar 03 14:15:41 CST 2026","520","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-022_\u65e0\u6548\u72b6\u6001\u53c2\u6570]","测试获取我发布的商品列表接口"
"failed","Tue Mar 03 14:13:42 CST 2026","Tue Mar 03 14:13:43 CST 2026","421","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-012_\u4e0b\u67b6\u5546\u54c1]","测试管理员审核商品的各种场景"
"failed","Tue Mar 03 14:14:08 CST 2026","Tue Mar 03 14:14:10 CST 2026","1259","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_update_credit_score[TC-CREDIT-003_\u7ba1\u7406\u5458\u66f4\u65b0\u6210\u529f]","测试管理员更新信用分接口的各种场景"
"passed","Tue Mar 03 14:15:55 CST 2026","Tue Mar 03 14:15:55 CST 2026","66","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-027_\u5b66\u53f7\u4e3a\u7a7a]","测试密码重置申请接口的各种场景"
"passed","Tue Mar 03 14:15:50 CST 2026","Tue Mar 03 14:15:50 CST 2026","100","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-017_\u7f3a\u5c11\u7167\u7247]","测试用户注册接口的各种场景"
"failed","Tue Mar 03 14:13:40 CST 2026","Tue Mar 03 14:13:40 CST 2026","79","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_audit[TC-ADMIN-007_\u7528\u6237\u4e0d\u5b58\u5728]","测试管理员审核用户的各种场景"
